Neg cntrl plate,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,-,-,-,-,-,-,-,-,-,-,-,-
B,-,-,-,-,-,-,-,-,-,-,-,-
C,-,-,-,-,-,-,-,-,-,-,-,-
D,-,-,-,-,-,-,-,-,-,-,-,-
E,-,-,-,-,-,-,-,-,-,-,-,-
F,-,-,-,-,-,-,-,-,-,-,-,-
G,-,-,-,-,-,-,-,-,-,-,-,-
H,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
,,,,,,,,,,,,
Pos cntrl plate,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,200,200,100,100,50,50,25,25,12.5,12.5,6.25,6.25
B,200,200,100,100,50,50,25,25,12.5,12.5,6.25,6.25
C,200,200,100,100,50,50,25,25,12.5,12.5,6.25,6.25
D,200,200,100,100,50,50,25,25,12.5,12.5,6.25,6.25
E,200,200,100,100,50,50,25,25,12.5,12.5,6.25,6.25
F,200,200,100,100,50,50,25,25,12.5,12.5,6.25,6.25
G,200,200,100,100,50,50,25,25,12.5,12.5,6.25,6.25
H,200,200,100,100,50,50,25,25,12.5,12.5,6.25,6.25
,,,,,,,,,,,,
,,,,,,,,,,,,
Compound plate,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,4,4,2,2,1,1,0.5,0.5,0.25,0.25,0.125,0.125
B,4,4,2,2,1,1,0.5,0.5,0.25,0.25,0.125,0.125
C,4,4,2,2,1,1,0.5,0.5,0.25,0.25,0.125,0.125
D,4,4,2,2,1,1,0.5,0.5,0.25,0.25,0.125,0.125
E,4,4,2,2,1,1,0.5,0.5,0.25,0.25,0.125,0.125
F,4,4,2,2,1,1,0.5,0.5,0.25,0.25,0.125,0.125
G,4,4,2,2,1,1,0.5,0.5,0.25,0.25,0.125,0.125
H,4,4,2,2,1,1,0.5,0.5,0.25,0.25,0.125,0.125
